manufacture_year,make,model,trim,body_type,transmission,vin,state,condition_score,odometer,exterior_color,interior_color,seller,mmr,selling_price,original_saledate,sale_date,sale_year,sale_month,sale_quarter,sale_day_name,sale_day_of_week,profit,profit_margin_pct,margin_tier,price_category,mileage_category,condition_category,vehicle_age,age_category,units_sold,total_revenue,total_profit,avg_price,avg_margin
2015,HYUNDAI,SONATA,SE,SEDAN,AUTOMATIC,5npe24af4fh038482,CA,0,9281,SILVER,GRAY,enterprise vehicle exchange / tra / rental / tulsa,15150,8500,Tue Dec 16 2014 13:00:00,2014-12-16,2014,12,4,Tuesday,3,-6650,-43.89,Negative Margin (Loss),Budget (<$10k),Very Low Mileage (<25k),Unknown,-1,New (0-1 yrs),663,6731026,-242149,10152.377073906486,-3.8961010904564066
2015,VOLVO,XC70,T6,WAGON,AUTOMATIC,yv4902nb3f1198103,CA,42,16506,BROWN,BROWN,volvo na rep/world omni,32100,32500,Thu Feb 26 2015 04:30:00,2015-02-26,2015,2,1,Thursday,5,400,1.25,Low Margin (0-5%),Premium ($30k-$50k),Very Low Mileage (<25k),Excellent (4.5+),0,New (0-1 yrs),151,2193800,3700,14528.476821192053,-0.7344699337838897
2015,VOLVO,XC70,T6,WAGON,AUTOMATIC,yv4902nb3f1196951,CA,48,12725,BEIGE,BEIGE,volvo na rep/world omni,32300,32500,Thu Feb 12 2015 04:30:00,2015-02-12,2015,2,1,Thursday,5,200,0.62,Low Margin (0-5%),Premium ($30k-$50k),Very Low Mileage (<25k),Excellent (4.5+),0,New (0-1 yrs),151,2193800,3700,14528.476821192053,-0.7344699337838897
2014,BMW,X5,sDrive35i,SUV,AUTOMATIC,5uxkr2c52e0h33130,CA,0,11278,GRAY,BLACK,avis rac/san leandro,50400,34000,Tue Dec 16 2014 13:00:00,2014-12-16,2014,12,4,Tuesday,3,-16400,-32.54,Negative Margin (Loss),Premium ($30k-$50k),Very Low Mileage (<25k),Unknown,0,New (0-1 yrs),243,4505950,-85975,18543.004115226337,-3.2349313629142777
2014,CHEVROLET,CAMARO,LT,COUPE,AUTOMATIC,2g1fb1e35e9238302,CA,42,11874,GRAY,BLACK,midway hfc fleet/ars,22200,19500,Thu Dec 18 2014 12:00:00,2014-12-18,2014,12,4,Thursday,5,-2700,-12.16,Negative Margin (Loss),Economy ($10k-$20k),Very Low Mileage (<25k),Excellent (4.5+),0,New (0-1 yrs),172,2955850,-133100,17185.174418604653,-3.168870199444628
2014,CHEVROLET,CRUZE,1LT,SEDAN,AUTOMATIC,1g1pc5sb2e7105471,CA,42,37888,GRAY,BLACK,enterprise vehicle exchange/orange,11600,11500,Tue Dec 30 2014 12:30:00,2014-12-30,2014,12,4,Tuesday,3,-100,-0.86,Negative Margin (Loss),Economy ($10k-$20k),Low Mileage (25k-50k),Excellent (4.5+),0,New (0-1 yrs),442,4369375,-221650,9885.463800904978,-4.4048602118620686
2014,AUDI,SQ5,3.0T Premium Plus quattro,SUV,AUTOMATIC,wa1cgafp4ea030312,CA,42,9606,WHITE,BLACK,audi of downtown l a,48600,47500,Thu Jan 29 2015 04:00:00,2015-01-29,2015,1,1,Thursday,5,-1100,-2.26,Negative Margin (Loss),Premium ($30k-$50k),Very Low Mileage (<25k),Excellent (4.5+),1,New (0-1 yrs),7,336800,500,48114.28571428572,0.11800912325578146
2015,KIA,SORENTO,LX,SUV,AUTOMATIC,5xyktca60fg565226,CA,5,13757,RED,BLACK,kia motors america  inc,20600,20750,Tue Dec 16 2014 12:30:00,2014-12-16,2014,12,4,Tuesday,3,150,0.73,Low Margin (0-5%),Mid-Range ($20k-$30k),Very Low Mileage (<25k),Excellent (4.5+),-1,New (0-1 yrs),245,3030750,-11675,12370.408163265307,-0.23994585521112619
2014,AUDI,S5,Premium Plus quattro,COUPE,AUTOMATIC,waucgafrxea001689,CA,38,5875,BLACK,BLACK,fratelli investment group,46500,44500,Thu Dec 18 2014 12:00:00,2014-12-18,2014,12,4,Thursday,5,-2000,-4.3,Negative Margin (Loss),Premium ($30k-$50k),Very Low Mileage (<25k),Excellent (4.5+),0,New (0-1 yrs),10,347150,-1850,34715.0,-0.4397737151859751
2015,KIA,SORENTO,LX,SUV,AUTOMATIC,5xyktca68fg559481,CA,44,12862,GRAY,BLACK,kia motors america  inc,20700,21000,Tue Dec 16 2014 12:30:00,2014-12-16,2014,12,4,Tuesday,3,300,1.45,Low Margin (0-5%),Mid-Range ($20k-$30k),Very Low Mileage (<25k),Excellent (4.5+),-1,New (0-1 yrs),245,3030750,-11675,12370.408163265307,-0.23994585521112619
2014,BUICK,VERANO,Convenience Group,SEDAN,UNKNOWN,1g4pr5sk8e4175320,CA,2,19531,GRAY,GRAY,enterprise vehicle exchange / tra / rental / tulsa,15000,9200,Tue Jan 06 2015 04:00:00,2015-01-06,2015,1,1,Tuesday,3,-5800,-38.67,Negative Margin (Loss),Budget (<$10k),Very Low Mileage (<25k),Fair (2.0-2.9),1,New (0-1 yrs),359,4732351,-124774,13182.036211699164,-2.206301777450225
2015,CHEVROLET,SUBURBAN,LTZ,SUV,AUTOMATIC,1gnskkkc3fr187901,CA,45,11426,BLACK,BLACK,midway hfc fleet/ars,57300,59900,Thu Dec 18 2014 12:00:00,2014-12-18,2014,12,4,Thursday,5,2600,4.54,Low Margin (0-5%),Luxury ($50k+),Very Low Mileage (<25k),Excellent (4.5+),-1,New (0-1 yrs),269,3808325,-43800,14157.342007434945,-1.1257626953348217
2014,BMW,3 SERIES,328i SULEV,SEDAN,AUTOMATIC,wba3c1c50ek108497,CA,5,111,BLACK,—,financial services remarketing (lease),32200,30500,Thu Jan 15 2015 04:30:00,2015-01-15,2015,1,1,Thursday,5,-1700,-5.28,Negative Margin (Loss),Premium ($30k-$50k),Very Low Mileage (<25k),Excellent (4.5+),1,New (0-1 yrs),7319,124597670,-801505,17023.865282142368,0.01942158579106897
2014,BMW,M5,Base,SEDAN,AUTOMATIC,wbsfv9c56ed593069,CA,38,16360,BLACK,BLACK,the hertz corporation,65000,64250,Tue Jan 13 2015 04:30:00,2015-01-13,2015,1,1,Tuesday,3,-750,-1.15,Negative Margin (Loss),Luxury ($50k+),Very Low Mileage (<25k),Excellent (4.5+),1,New (0-1 yrs),98,4004153,127728,40858.704081632655,3.4989963912001745
2014,BMW,3 SERIES,328i SULEV,SEDAN,AUTOMATIC,wba3c1c58ek106688,CA,45,9027,WHITE,BLACK,financial services remarketing (lease),30200,27500,Thu Jan 15 2015 04:30:00,2015-01-15,2015,1,1,Thursday,5,-2700,-8.94,Negative Margin (Loss),Mid-Range ($20k-$30k),Very Low Mileage (<25k),Excellent (4.5+),1,New (0-1 yrs),7319,124597670,-801505,17023.865282142368,0.01942158579106897
2014,CADILLAC,ELR,Base,COUPE,AUTOMATIC,1g6rr1e48eu601450,CA,47,4436,GRAY,BLACK,rogue cu,49400,44000,Wed Feb 04 2015 04:30:00,2015-02-04,2015,2,1,Wednesday,4,-5400,-10.93,Negative Margin (Loss),Premium ($30k-$50k),Very Low Mileage (<25k),Excellent (4.5+),1,New (0-1 yrs),5,203100,-18900,40620.0,-8.524174813088985
2015,HYUNDAI,SONATA,SE,SEDAN,AUTOMATIC,5npe24af2fh014813,CA,0,9208,SILVER,GRAY,enterprise vehicle exchange / tra / rental / tulsa,15700,10000,Thu Dec 18 2014 12:00:00,2014-12-18,2014,12,4,Thursday,5,-5700,-36.31,Negative Margin (Loss),Economy ($10k-$20k),Very Low Mileage (<25k),Unknown,-1,New (0-1 yrs),663,6731026,-242149,10152.377073906486,-3.8961010904564066
2014,BMW,6 SERIES,650i,CONVERTIBLE,AUTOMATIC,wbayp9c50ed169281,CA,32,13205,WHITE,BLACK,the hertz corporation,66000,65000,Tue Jan 06 2015 04:30:00,2015-01-06,2015,1,1,Tuesday,3,-1000,-1.52,Negative Margin (Loss),Luxury ($50k+),Very Low Mileage (<25k),Excellent (4.5+),1,New (0-1 yrs),619,20510325,-28075,33134.61227786753,-0.06626605956074723
2015,VOLVO,V60,T5,WAGON,AUTOMATIC,yv1612sb9f1202043,CA,41,11846,WHITE,BEIGE,volvo na rep/world omni,31300,30000,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,-1300,-4.15,Negative Margin (Loss),Premium ($30k-$50k),Very Low Mileage (<25k),Excellent (4.5+),-1,New (0-1 yrs),5,150000,-5900,30000.0,-3.777539475991985
2014,CHEVROLET,CRUZE,1LT,SEDAN,UNKNOWN,1g1pc5sb6e7128803,CA,0,38261,WHITE,—,avis tra,11450,2000,Tue Dec 16 2014 13:00:00,2014-12-16,2014,12,4,Tuesday,3,-9450,-82.53,Negative Margin (Loss),Budget (<$10k),Low Mileage (25k-50k),Unknown,0,New (0-1 yrs),442,4369375,-221650,9885.463800904978,-4.4048602118620686
2014,BMW,X6,xDrive35i,SUV,AUTOMATIC,5uxfg2c53e0h11080,CA,4,379,WHITE,BLACK,financial services remarketing (lease),54800,51700,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,-3100,-5.66,Negative Margin (Loss),Luxury ($50k+),Very Low Mileage (<25k),Very Good (4.0-4.4),0,New (0-1 yrs),17,724250,-16150,42602.94117647059,-2.201875203223511
2015,VOLVO,V60,T5,WAGON,AUTOMATIC,yv1612sb1f1201503,CA,42,12242,BLACK,GRAY,volvo na rep/world omni,31200,30000,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,-1200,-3.85,Negative Margin (Loss),Premium ($30k-$50k),Very Low Mileage (<25k),Excellent (4.5+),-1,New (0-1 yrs),5,150000,-5900,30000.0,-3.777539475991985
2014,CHEVROLET,CRUZE,2LT,SEDAN,AUTOMATIC,1g1pe5sb6e7118217,CA,34,40661,SILVER,BLACK,avis corporation,13050,13000,Thu Jan 22 2015 03:30:00,2015-01-22,2015,1,1,Thursday,5,-50,-0.38,Negative Margin (Loss),Economy ($10k-$20k),Low Mileage (25k-50k),Excellent (4.5+),1,New (0-1 yrs),5906,66324339,-697736,11229.993057907213,-1.032128021678697
2014,ACURA,ILX,Technology Package,SEDAN,AUTOMATIC,19vde1f70ee008913,CA,25,9051,GRAY,BLACK,american honda motor company,22700,21250,Thu Dec 18 2014 12:00:00,2014-12-18,2014,12,4,Thursday,5,-1450,-6.39,Negative Margin (Loss),Mid-Range ($20k-$30k),Very Low Mileage (<25k),Excellent (4.5+),0,New (0-1 yrs),15,289350,-1600,19290.0,0.07712593076120863
2015,KIA,SORENTO,LX,SUV,AUTOMATIC,5xyktca67fg570973,CA,5,13878,SILVER,BLACK,kia motors america  inc,20600,20750,Tue Dec 16 2014 12:30:00,2014-12-16,2014,12,4,Tuesday,3,150,0.73,Low Margin (0-5%),Mid-Range ($20k-$30k),Very Low Mileage (<25k),Excellent (4.5+),-1,New (0-1 yrs),245,3030750,-11675,12370.408163265307,-0.23994585521112619
2015,VOLVO,V60,T5,WAGON,AUTOMATIC,yv1612sbxf1202276,CA,37,10906,SILVER,BLACK,volvo na rep/world omni,31500,30000,Thu Dec 18 2014 12:30:00,2014-12-18,2014,12,4,Thursday,5,-1500,-4.76,Negative Margin (Loss),Premium ($30k-$50k),Very Low Mileage (<25k),Excellent (4.5+),-1,New (0-1 yrs),5,150000,-5900,30000.0,-3.777539475991985
2015,NISSAN,ALTIMA,2.5 S,SEDAN,AUTOMATIC,1n4al3ap4fn313644,CA,0,10678,GRAY,BLACK,enterprise vehicle exchange / tra / rental / tulsa,15150,11600,Thu Dec 18 2014 12:00:00,2014-12-18,2014,12,4,Thursday,5,-3550,-23.43,Negative Margin (Loss),Economy ($10k-$20k),Very Low Mileage (<25k),Unknown,-1,New (0-1 yrs),1590,16579304,-458271,10427.235220125785,-2.1463804455238074
2014,BMW,6 SERIES GRAN COUPE,650i,SEDAN,AUTOMATIC,wba6b2c51ed129563,CA,42,7305,WHITE,BLACK,the hertz corporation,65000,66100,Wed Dec 17 2014 12:30:00,2014-12-17,2014,12,4,Wednesday,4,1100,1.69,Low Margin (0-5%),Luxury ($50k+),Very Low Mileage (<25k),Excellent (4.5+),0,New (0-1 yrs),15,955502,-38498,63700.13333333333,-3.865270980148773
2015,NISSAN,ALTIMA,2.5 S,SEDAN,AUTOMATIC,1n4al3ap1fn331213,CA,1,4314,BLACK,BLACK,enterprise vehicle exchange / tra / rental / tulsa,15500,11500,Tue Dec 30 2014 12:00:00,2014-12-30,2014,12,4,Tuesday,3,-4000,-25.81,Negative Margin (Loss),Economy ($10k-$20k),Very Low Mileage (<25k),Poor (<2.0),-1,New (0-1 yrs),1590,16579304,-458271,10427.235220125785,-2.1463804455238074
2015,KIA,K900,Luxury,SEDAN,AUTOMATIC,knalw4d42f6019667,CA,42,5304,BLUE,BLACK,kia motors america  inc,39500,40000,Tue Feb 17 2015 04:30:00,2015-02-17,2015,2,1,Tuesday,3,500,1.27,Low Margin (0-5%),Premium ($30k-$50k),Very Low Mileage (<25k),Excellent (4.5+),0,New (0-1 yrs),61,2352000,-2900,38557.37704918033,-0.11498101008297291
2015,KIA,SORENTO,LX,SUV,AUTOMATIC,5xyktca63fg570727,CA,48,10357,SILVER,GRAY,kia motors america  inc,20700,20500,Tue Dec 16 2014 12:30:00,2014-12-16,2014,12,4,Tuesday,3,-200,-0.97,Negative Margin (Loss),Mid-Range ($20k-$30k),Very Low Mileage (<25k),Excellent (4.5+),-1,New (0-1 yrs),245,3030750,-11675,12370.408163265307,-0.23994585521112619
2015,CHEVROLET,MALIBU,LT,SEDAN,AUTOMATIC,1g11d5sl6fu106427,CA,1,6105,SILVER,BLACK,enterprise vehicle exchange / tra / rental / tulsa,16600,9800,Wed Jan 14 2015 07:05:00,2015-01-14,2015,1,1,Wednesday,4,-6800,-40.96,Negative Margin (Loss),Budget (<$10k),Very Low Mileage (<25k),Poor (<2.0),0,New (0-1 yrs),6303,58385122,-1438528,9263.06869744566,-1.7549576974146393
2015,LEXUS,RX 350,Base,SUV,AUTOMATIC,2t2zk1ba7fc155782,CA,43,7770,WHITE,BLACK,lexus financial services,41200,38400,Tue Dec 30 2014 00:00:00,2014-12-30,2014,12,4,Tuesday,3,-2800,-6.8,Negative Margin (Loss),Premium ($30k-$50k),Very Low Mileage (<25k),Excellent (4.5+),-1,New (0-1 yrs),178,4488650,-81450,25217.134831460673,-1.4691810302274768
2015,KIA,SORENTO,LX,SUV,AUTOMATIC,5xykt3a62fg579841,CA,5,5214,WHITE,BLACK,kia motors finance,19400,19300,Tue Dec 16 2014 12:00:00,2014-12-16,2014,12,4,Tuesday,3,-100,-0.52,Negative Margin (Loss),Economy ($10k-$20k),Very Low Mileage (<25k),Excellent (4.5+),-1,New (0-1 yrs),245,3030750,-11675,12370.408163265307,-0.23994585521112619
2014,BMW,M5,Base,SEDAN,AUTOMATIC,wbsfv9c51ed097712,CA,47,7766,GRAY,BLACK,fratelli investment group,71000,77250,Thu Dec 18 2014 12:00:00,2014-12-18,2014,12,4,Thursday,5,6250,8.8,Medium Margin (5-15%),Luxury ($50k+),Very Low Mileage (<25k),Excellent (4.5+),0,New (0-1 yrs),9,478853,-53097,53205.88888888889,-8.94651658185279
2015,KIA,K900,Luxury,SEDAN,AUTOMATIC,knalw4d42f6018633,CA,44,9684,WHITE,GRAY,kia motors america  inc,41000,41000,Tue Jan 20 2015 04:30:00,2015-01-20,2015,1,1,Tuesday,3,0,0.0,Low Margin (0-5%),Premium ($30k-$50k),Very Low Mileage (<25k),Excellent (4.5+),0,New (0-1 yrs),61,2352000,-2900,38557.37704918033,-0.11498101008297291
2015,AUDI,A3,1.8 TFSI Premium,SEDAN,AUTOMATIC,wauacgff6f1029938,CA,2,31,WHITE,BLACK,enterprise vehicle exchange / tra / rental / tulsa,24200,17300,Tue Dec 23 2014 12:00:00,2014-12-23,2014,12,4,Tuesday,3,-6900,-28.51,Negative Margin (Loss),Economy ($10k-$20k),Very Low Mileage (<25k),Fair (2.0-2.9),-1,New (0-1 yrs),30,396800,-21950,13226.666666666666,-4.685016062249233
2015,NISSAN,VERSA,1.6 SL,SEDAN,MANUAL,3n1cn7ap7fl842707,CA,39,1608,PURPLE,BLACK,nissan-infiniti lt,10900,11000,Wed Dec 17 2014 12:30:00,2014-12-17,2014,12,4,Wednesday,4,100,0.92,Low Margin (0-5%),Economy ($10k-$20k),Very Low Mileage (<25k),Excellent (4.5+),-1,New (0-1 yrs),303,2144600,-161675,7077.887788778878,-6.541300832204051
